time,open,high,low,close,tick_volume,ema_220,slope_20,atr_14,slope_normalized,bb_upper,bb_middle,bb_lower,rsi_14,donchian_upper,donchian_lower,HourOfDay,DayOfWeek,ATR_normalized,strategy,direction,y
2021-11-11 19:00:00+00:00,1.14484,1.14509,1.14443,1.14448,850,1.1558365627769265,-9.185315309057085e-05,0.0013345053407811838,-0.0688293634230062,1.1493596473039125,1.14688125,1.1444028526960877,29.998330083249826,1.14985,1.1446,19,3,1.084051457104063,trend,short,1
2021-11-12 00:00:00+00:00,1.14472,1.14479,1.14404,1.14407,919,1.1553389956896314,-9.447719890802731e-05,0.0010875325970850329,-0.08687298124328337,1.1489960454111077,1.1461916666666665,1.1433872879222253,29.64909412686582,1.14873,1.1442700000000001,0,4,0.8887733635219958,trend,short,1
2021-11-12 01:00:00+00:00,1.14407,1.1442700000000001,1.14357,1.14384,906,1.155234932380223,-9.545478081836034e-05,0.0010598516972932551,-0.09006428074997791,1.1489015394128765,1.1460225,1.1431434605871234,28.701298285134484,1.14846,1.14404,1,4,0.8678756439368077,trend,short,1
2021-11-15 15:00:00+00:00,1.14374,1.14447,1.14175,1.14199,2967,1.1521342873000184,-7.35824063651136e-05,0.0011342181592399994,-0.06487500289575564,1.1467154351321982,1.1447283333333333,1.1427412315344685,30.074690907446566,1.14636,1.14338,15,0,0.9648242443790631,trend,short,1
2021-11-15 17:00:00+00:00,1.14207,1.14207,1.13805,1.13853,2472,1.1519209163038469,-7.600644523407807e-05,0.001325473820977338,-0.05734284904852721,1.1480147030675851,1.144375,1.1407352969324147,19.83767698781662,1.14636,1.14147,17,0,1.125730802157898,trend,short,1
2021-11-15 20:00:00+00:00,1.13852,1.13865,1.1356,1.13597,1711,1.1515364075357175,-8.293628630681171e-05,0.0013766056795507249,-0.060246944741561115,1.1498581754809407,1.1435145833333333,1.137170991185726,15.613332728529755,1.14636,1.13775,20,0,1.1696953917995627,trend,short,1
2021-11-16 14:00:00+00:00,1.13616,1.1362,1.1329500000000001,1.13438,3875,1.1493408088125838,-0.00012289636266096248,0.0013571267545502718,-0.09055628904883553,1.1414565873136893,1.1375741666666668,1.1336917460196443,24.02720203519685,1.14457,1.13512,14,1,1.1216494723483963,trend,short,1
2021-11-16 17:00:00+00:00,1.13336,1.13349,1.13192,1.1327099999999999,1681,1.1489193693943078,-0.00012412502583261097,0.001434856953260536,-0.08650689920730573,1.1402080010782354,1.1366766666666666,1.1331453322550977,22.68489629487526,1.14207,1.1329500000000001,17,1,1.180282196583228,trend,short,1
2021-11-16 19:00:00+00:00,1.13269,1.13308,1.13157,1.13163,1307,1.148617182193657,-0.00012591337941397773,0.0014359225770460746,-0.08768813961613582,1.1404785496902332,1.13615,1.1318214503097668,19.993575770493905,1.13896,1.13192,19,1,1.1829988400101377,trend,short,1
2021-11-16 20:00:00+00:00,1.13162,1.13225,1.13114,1.13123,1170,1.1484598321285562,-0.00012752502303918777,0.0014126423929713512,-0.09027410169317637,1.1408370011882825,1.1359525,1.1310679988117174,19.087929075314108,1.13865,1.13157,20,1,1.1664825437198543,trend,short,1
