Ticket,slope_normalized,rsi_14,HourOfDay,DayOfWeek,ATR_normalized,dist_ema_atr,bb_position,is_trend,is_long
410,-0.011524664238095284,75.54106140136719,17.0,4.0,1.2984715700149536,5.647458553314209,1.069362759590149,0.0,0.0
412,0.024632185697555542,74.87268829345703,16.0,1.0,0.5857540369033813,19.37287712097168,1.1505433320999146,0.0,0.0
414,0.06699314713478088,74.52854919433594,17.0,3.0,1.320898413658142,6.279092311859131,1.0574350357055664,0.0,0.0
416,0.0586836077272892,76.9649429321289,16.0,2.0,0.9849055409431458,16.55219268798828,1.1012768745422363,0.0,0.0
418,0.08199399709701538,65.88107299804688,12.0,0.0,0.630416214466095,17.887048721313477,1.066039800643921,0.0,0.0
420,0.08199399709701538,67.63190460205078,13.0,0.0,0.6834272146224976,16.97612190246582,1.0655195713043213,0.0,0.0
422,0.07923220843076706,72.3067626953125,15.0,0.0,0.7871069312095642,16.114593505859375,1.0736138820648193,0.0,0.0
424,0.062070105224847794,71.563232421875,15.0,2.0,1.0597127676010132,5.245343208312988,1.0831880569458008,0.0,0.0
426,0.062070105224847794,69.03311920166016,17.0,2.0,1.098037600517273,5.185494899749756,0.9290788173675537,0.0,0.0
428,0.07056592404842377,69.28308868408203,17.0,4.0,0.6907078623771667,9.442065238952637,0.9500621557235718,0.0,0.0
430,0.04630907624959946,75.9730224609375,17.0,2.0,1.43631911277771,3.2452218532562256,1.0073565244674683,0.0,0.0
432,0.02313288114964962,83.13520050048828,15.0,1.0,0.7425369620323181,14.087004661560059,0.9995677471160889,0.0,0.0
434,0.066128209233284,79.90743255615234,11.0,1.0,0.8320205807685852,11.001544952392578,0.9405900835990906,0.0,0.0
436,0.07139240205287933,66.5461196899414,16.0,4.0,0.7183073163032532,15.171212196350098,0.9001659154891968,0.0,0.0
438,0.06741002947092056,69.23490905761719,16.0,4.0,0.8000364899635315,10.270718574523926,1.0670939683914185,0.0,0.0
440,0.06741002947092056,71.16281127929688,17.0,4.0,0.8239322304725647,10.449187278747559,1.0533123016357422,0.0,0.0
442,0.10372824966907501,77.38465118408203,17.0,0.0,0.8990034461021423,12.105097770690918,1.3000789880752563,0.0,0.0
444,0.09417121112346649,65.51982879638672,17.0,2.0,1.1436614990234375,8.153388023376465,0.9652029275894165,0.0,0.0
